Source_Dataset,Original_Degree,Original_CGPA,ML_Degree_Code,ML_Spec_Code,ML_CGPA_Norm,ML_YoG,ML_Cert_Count
Academic Performance (V2),BCH,3.37,5,9,0.67,2012,0
Academic Performance (V2),BCH,3.72,5,9,0.74,2012,0
Academic Performance (V2),BCH,2.32,5,9,0.46,2013,0
Academic Performance (V2),BCH,3.13,5,9,0.63,2012,0
Academic Performance (V2),BCH,3.17,5,9,0.63,2012,0
Academic Performance (V2),BCH,3.51,5,9,0.7,2012,0
Academic Performance (V2),BCH,1.91,5,9,0.38,2013,0
Academic Performance (V2),BCH,2.84,5,9,0.57,2012,0
Academic Performance (V2),BCH,3.51,5,9,0.7,2012,0
Academic Performance (V2),BCH,3.40,5,9,0.68,2012,0
Academic Performance (V2),BCH,3.76,5,9,0.75,2012,0
Academic Performance (V2),BCH,4.04,5,9,0.81,2012,0
Academic Performance (V2),BCH,4.02,5,9,0.8,2012,0
Academic Performance (V2),BCH,2.88,5,9,0.58,2012,0
Academic Performance (V2),BCH,2.28,5,9,0.46,2014,0
Academic Performance (V2),BCH,2.98,5,9,0.6,2013,0
Academic Performance (V2),BCH,4.35,5,9,0.87,2013,0
Academic Performance (V2),BCH,3.17,5,9,0.63,2013,0
Academic Performance (V2),BCH,4.36,5,9,0.87,2013,0
Academic Performance (V2),BCH,3.33,5,9,0.67,2013,0
Academic Performance (V2),BCH,4.75,5,9,0.95,2013,0
Academic Performance (V2),BCH,2.43,5,9,0.49,2013,0
Academic Performance (V2),BCH,3.98,5,9,0.8,2013,0
Academic Performance (V2),BCH,3.80,5,9,0.76,2013,0
Academic Performance (V2),BCH,2.88,5,9,0.58,2013,0
Academic Performance (V2),BCH,3.87,5,9,0.77,2013,0
Academic Performance (V2),BCH,4.30,5,9,0.86,2013,0
Academic Performance (V2),BCH,3.99,5,9,0.8,2013,0
Academic Performance (V2),BCH,4.13,5,9,0.83,2013,0
Academic Performance (V2),BCH,3.65,5,9,0.73,2013,0
Academic Performance (V2),BCH,2.63,5,9,0.53,2013,0
Academic Performance (V2),BCH,4.11,5,9,0.82,2013,0
Academic Performance (V2),BCH,3.56,5,9,0.71,2013,0
Academic Performance (V2),BCH,4.55,5,9,0.91,2013,0
Academic Performance (V2),BCH,3.74,5,9,0.75,2013,0
Academic Performance (V2),BCH,4.23,5,9,0.85,2013,0
Academic Performance (V2),BCH,4.15,5,9,0.83,2013,0
Academic Performance (V2),BCH,3.28,5,9,0.66,2013,0
Academic Performance (V2),BCH,4.30,5,9,0.86,2013,0
Academic Performance (V2),BCH,4.04,5,9,0.81,2013,0
Academic Performance (V2),BCH,4.19,5,9,0.84,2013,0
Academic Performance (V2),BCH,2.55,5,9,0.51,2013,0
Academic Performance (V2),BCH,2.82,5,9,0.56,2013,0
Academic Performance (V2),BCH,3.26,5,9,0.65,2013,0
Academic Performance (V2),BCH,4.33,5,9,0.87,2013,0
Academic Performance (V2),BCH,3.87,5,9,0.77,2013,0
Academic Performance (V2),BCH,3.19,5,9,0.64,2013,0
Academic Performance (V2),BCH,4.25,5,9,0.85,2013,0
Academic Performance (V2),BCH,3.83,5,9,0.77,2013,0
Academic Performance (V2),BCH,3.36,5,9,0.67,2013,0
Academic Performance (V2),BCH,3.47,5,9,0.69,2014,0
Academic Performance (V2),BCH,3.46,5,9,0.69,2014,0
Academic Performance (V2),BCH,3.64,5,9,0.73,2014,0
Academic Performance (V2),BCH,4.91,5,9,0.98,2014,0
Academic Performance (V2),BCH,3.02,5,9,0.6,2014,0
Academic Performance (V2),BCH,4.63,5,9,0.93,2014,0
Academic Performance (V2),BCH,4.20,5,9,0.84,2014,0
Academic Performance (V2),BCH,4.06,5,9,0.81,2014,0
Academic Performance (V2),BCH,3.70,5,9,0.74,2014,0
Academic Performance (V2),BCH,3.62,5,9,0.72,2014,0
Academic Performance (V2),BCH,4.24,5,9,0.85,2014,0
Academic Performance (V2),BCH,3.07,5,9,0.61,2014,0
Academic Performance (V2),BCH,3.72,5,9,0.74,2014,0
Academic Performance (V2),BCH,4.11,5,9,0.82,2014,0
Academic Performance (V2),BCH,4.38,5,9,0.88,2014,0
Academic Performance (V2),BCH,3.03,5,9,0.61,2014,0
Academic Performance (V2),BCH,3.26,5,9,0.65,2014,0
Academic Performance (V2),BCH,4.33,5,9,0.87,2014,0
Academic Performance (V2),MCB,4.13,5,9,0.83,2010,0
Academic Performance (V2),MCB,2.92,5,9,0.58,2010,0
Academic Performance (V2),MCB,3.17,5,9,0.63,2010,0
Academic Performance (V2),MCB,3.98,5,9,0.8,2010,0
Academic Performance (V2),MCB,3.96,5,9,0.79,2010,0
Academic Performance (V2),MCB,4.26,5,9,0.85,2010,0
Academic Performance (V2),MCB,3.85,5,9,0.77,2010,0
Academic Performance (V2),MCB,3.19,5,9,0.64,2010,0
Academic Performance (V2),MCB,3.78,5,9,0.76,2011,0
Academic Performance (V2),MCB,3.12,5,9,0.62,2011,0
Academic Performance (V2),MCB,4.70,5,9,0.94,2011,0
Academic Performance (V2),MCB,3.14,5,9,0.63,2011,0
Academic Performance (V2),MCB,2.29,5,9,0.46,2011,0
Academic Performance (V2),MCB,2.61,5,9,0.52,2011,0
Academic Performance (V2),MCB,2.53,5,9,0.51,2011,0
Academic Performance (V2),MCB,3.61,5,9,0.72,2011,0
Academic Performance (V2),MCB,2.56,5,9,0.51,2011,0
Academic Performance (V2),MCB,2.50,5,9,0.5,2011,0
Academic Performance (V2),MCB,3.39,5,9,0.68,2011,0
Academic Performance (V2),MCB,2.93,5,9,0.59,2011,0
Academic Performance (V2),MCB,2.60,5,9,0.52,2011,0
Academic Performance (V2),MCB,3.74,5,9,0.75,2011,0
Academic Performance (V2),MCB,3.87,5,9,0.77,2011,0
Academic Performance (V2),MCB,2.29,5,9,0.46,2012,0
Academic Performance (V2),MCB,2.32,5,9,0.46,2014,0
Academic Performance (V2),MCB,4.25,5,9,0.85,2011,0
Academic Performance (V2),MCB,2.28,5,9,0.46,2011,0
Academic Performance (V2),MCB,3.00,5,9,0.6,2011,0
Academic Performance (V2),MCB,3.64,5,9,0.73,2011,0
Academic Performance (V2),MCB,4.22,5,9,0.84,2011,0
Academic Performance (V2),MCB,3.54,5,9,0.71,2011,0
Academic Performance (V2),MCB,3.16,5,9,0.63,2011,0
Academic Performance (V2),MCB,3.93,5,9,0.79,2011,0
Academic Performance (V2),MCB,4.25,5,9,0.85,2011,0
Academic Performance (V2),MCB,4.50,5,9,0.9,2011,0
Academic Performance (V2),MCB,2.92,5,9,0.58,2011,0
Academic Performance (V2),MCB,3.46,5,9,0.69,2011,0
Academic Performance (V2),MCB,4.25,5,9,0.85,2011,0
Academic Performance (V2),MCB,3.98,5,9,0.8,2011,0
Academic Performance (V2),MCB,3.47,5,9,0.69,2011,0
Academic Performance (V2),MCB,4.55,5,9,0.91,2011,0
Academic Performance (V2),MCB,2.18,5,9,0.44,2012,0
Academic Performance (V2),MCB,3.83,5,9,0.77,2011,0
Academic Performance (V2),MCB,3.66,5,9,0.73,2011,0
Academic Performance (V2),MCB,4.09,5,9,0.82,2011,0
Academic Performance (V2),MCB,3.28,5,9,0.66,2011,0
Academic Performance (V2),MCB,3.81,5,9,0.76,2011,0
Academic Performance (V2),MCB,3.41,5,9,0.68,2011,0
Academic Performance (V2),MCB,4.55,5,9,0.91,2011,0
Academic Performance (V2),MCB,2.50,5,9,0.5,2011,0
Academic Performance (V2),MCB,3.89,5,9,0.78,2011,0
Academic Performance (V2),MCB,4.04,5,9,0.81,2011,0
Academic Performance (V2),MCB,3.68,5,9,0.74,2011,0
Academic Performance (V2),MCB,4.63,5,9,0.93,2012,0
Academic Performance (V2),MCB,3.84,5,9,0.77,2012,0
Academic Performance (V2),MCB,1.96,5,9,0.39,2014,0
Academic Performance (V2),MCB,3.69,5,9,0.74,2012,0
Academic Performance (V2),MCB,2.78,5,9,0.56,2012,0
Academic Performance (V2),MCB,2.80,5,9,0.56,2012,0
Academic Performance (V2),MCB,4.06,5,9,0.81,2012,0
Academic Performance (V2),MCB,4.29,5,9,0.86,2012,0
Academic Performance (V2),MCB,3.01,5,9,0.6,2012,0
Academic Performance (V2),MCB,3.02,5,9,0.6,2012,0
Academic Performance (V2),MCB,3.85,5,9,0.77,2012,0
Academic Performance (V2),MCB,3.53,5,9,0.71,2012,0
Academic Performance (V2),MCB,3.50,5,9,0.7,2012,0
Academic Performance (V2),MCB,4.50,5,9,0.9,2012,0
Academic Performance (V2),MCB,3.07,5,9,0.61,2012,0
Academic Performance (V2),MCB,2.12,5,9,0.42,2013,0
Academic Performance (V2),MCB,3.45,5,9,0.69,2012,0
Academic Performance (V2),MCB,3.17,5,9,0.63,2012,0
Academic Performance (V2),MCB,3.12,5,9,0.62,2012,0
Academic Performance (V2),MCB,2.83,5,9,0.57,2013,0
Academic Performance (V2),MCB,2.51,5,9,0.5,2012,0
Academic Performance (V2),MCB,4.14,5,9,0.83,2012,0
Academic Performance (V2),MCB,4.41,5,9,0.88,2012,0
Academic Performance (V2),MCB,2.52,5,9,0.5,2012,0
Academic Performance (V2),MCB,4.52,5,9,0.9,2012,0
Academic Performance (V2),MCB,3.89,5,9,0.78,2012,0
Academic Performance (V2),MCB,2.48,5,9,0.5,2012,0
Academic Performance (V2),MCB,1.79,5,9,0.36,2014,0
Academic Performance (V2),MCB,3.70,5,9,0.74,2012,0
Academic Performance (V2),MCB,4.01,5,9,0.8,2012,0
Academic Performance (V2),MCB,4.16,5,9,0.83,2012,0
Academic Performance (V2),MCB,2.07,5,9,0.41,2013,0
Academic Performance (V2),MCB,2.52,5,9,0.5,2012,0
Academic Performance (V2),MCB,4.03,5,9,0.81,2012,0
Academic Performance (V2),MCB,3.61,5,9,0.72,2012,0
Academic Performance (V2),MCB,3.35,5,9,0.67,2012,0
Academic Performance (V2),MCB,3.98,5,9,0.8,2012,0
Academic Performance (V2),MCB,2.34,5,9,0.47,2012,0
Academic Performance (V2),MCB,2.19,5,9,0.44,2013,0
Academic Performance (V2),MCB,3.61,5,9,0.72,2012,0
Academic Performance (V2),MCB,3.30,5,9,0.66,2012,0
Academic Performance (V2),MCB,3.79,5,9,0.76,2012,0
Academic Performance (V2),MCB,4.26,5,9,0.85,2012,0
Academic Performance (V2),MCB,3.89,5,9,0.78,2012,0
Academic Performance (V2),MCB,4.46,5,9,0.89,2012,0
Academic Performance (V2),MCB,4.54,5,9,0.91,2012,0
Academic Performance (V2),MCB,4.27,5,9,0.85,2013,0
Academic Performance (V2),MCB,2.19,5,9,0.44,2014,0
Academic Performance (V2),MCB,3.98,5,9,0.8,2013,0
Academic Performance (V2),MCB,2.59,5,9,0.52,2013,0
Academic Performance (V2),MCB,4.05,5,9,0.81,2013,0
Academic Performance (V2),MCB,2.74,5,9,0.55,2013,0
Academic Performance (V2),MCB,4.14,5,9,0.83,2013,0
Academic Performance (V2),MCB,3.44,5,9,0.69,2013,0
Academic Performance (V2),MCB,3.09,5,9,0.62,2013,0
Academic Performance (V2),MCB,4.45,5,9,0.89,2013,0
Academic Performance (V2),MCB,2.42,5,9,0.48,2013,0
Academic Performance (V2),MCB,2.45,5,9,0.49,2013,0
Academic Performance (V2),MCB,2.85,5,9,0.57,2013,0
Academic Performance (V2),MCB,3.86,5,9,0.77,2013,0
Academic Performance (V2),MCB,2.34,5,9,0.47,2013,0
Academic Performance (V2),MCB,3.80,5,9,0.76,2013,0
Academic Performance (V2),MCB,2.47,5,9,0.49,2013,0
Academic Performance (V2),MCB,3.93,5,9,0.79,2013,0
Academic Performance (V2),MCB,4.24,5,9,0.85,2013,0
Academic Performance (V2),MCB,3.27,5,9,0.65,2013,0
Academic Performance (V2),MCB,3.88,5,9,0.78,2013,0
Academic Performance (V2),MCB,2.69,5,9,0.54,2013,0
Academic Performance (V2),MCB,3.61,5,9,0.72,2013,0
Academic Performance (V2),MCB,2.71,5,9,0.54,2013,0
Academic Performance (V2),MCB,3.39,5,9,0.68,2013,0
Academic Performance (V2),MCB,3.06,5,9,0.61,2013,0
Academic Performance (V2),MCB,2.96,5,9,0.59,2013,0
Academic Performance (V2),MCB,4.22,5,9,0.84,2013,0
Academic Performance (V2),MCB,4.28,5,9,0.86,2013,0
Academic Performance (V2),MCB,2.38,5,9,0.48,2014,0
Academic Performance (V2),MCB,4.22,5,9,0.84,2013,0
Academic Performance (V2),MCB,3.71,5,9,0.74,2013,0
Academic Performance (V2),MCB,3.80,5,9,0.76,2013,0
Academic Performance (V2),MCB,2.93,5,9,0.59,2013,0
Academic Performance (V2),MCB,2.72,5,9,0.54,2013,0
Academic Performance (V2),MCB,4.37,5,9,0.87,2013,0
Academic Performance (V2),MCB,4.35,5,9,0.87,2013,0
Academic Performance (V2),MCB,4.04,5,9,0.81,2013,0
Academic Performance (V2),MCB,2.60,5,9,0.52,2013,0
Academic Performance (V2),MCB,3.43,5,9,0.69,2013,0
Academic Performance (V2),MCB,3.94,5,9,0.79,2013,0
Academic Performance (V2),MCB,3.98,5,9,0.8,2013,0
Academic Performance (V2),MCB,3.28,5,9,0.66,2013,0
Academic Performance (V2),MCB,3.15,5,9,0.63,2013,0
Academic Performance (V2),MCB,3.88,5,9,0.78,2014,0
Academic Performance (V2),MCB,3.28,5,9,0.66,2014,0
Academic Performance (V2),MCB,3.88,5,9,0.78,2014,0
Academic Performance (V2),MCB,3.72,5,9,0.74,2014,0
Academic Performance (V2),MCB,4.18,5,9,0.84,2014,0
Academic Performance (V2),MCB,3.65,5,9,0.73,2014,0
Academic Performance (V2),MCB,2.92,5,9,0.58,2014,0
Academic Performance (V2),MCB,3.76,5,9,0.75,2014,0
Academic Performance (V2),MCB,4.12,5,9,0.82,2014,0
Academic Performance (V2),MCB,4.14,5,9,0.83,2014,0
Academic Performance (V2),MCB,4.40,5,9,0.88,2014,0
Academic Performance (V2),MCB,3.33,5,9,0.67,2014,0
Academic Performance (V2),MCB,3.31,5,9,0.66,2014,0
Academic Performance (V2),MCB,3.99,5,9,0.8,2014,0
Academic Performance (V2),MCB,4.30,5,9,0.86,2014,0
Academic Performance (V2),MCB,4.41,5,9,0.88,2014,0
Academic Performance (V2),MCB,3.23,5,9,0.65,2014,0
Academic Performance (V2),MCB,3.59,5,9,0.72,2014,0
Academic Performance (V2),MCB,4.11,5,9,0.82,2014,0
Academic Performance (V2),MCB,3.90,5,9,0.78,2014,0
Academic Performance (V2),MCB,3.76,5,9,0.75,2014,0
Academic Performance (V2),BLD,3.25,2,6,0.65,2010,0
Academic Performance (V2),BLD,1.81,2,6,0.36,2011,0
Academic Performance (V2),BLD,2.61,2,6,0.52,2010,0
Academic Performance (V2),BLD,3.77,2,6,0.75,2010,0
Academic Performance (V2),BLD,3.42,2,6,0.68,2010,0
Academic Performance (V2),BLD,3.45,2,6,0.69,2011,0
Academic Performance (V2),BLD,2.28,2,6,0.46,2013,0
Academic Performance (V2),BLD,4.01,2,6,0.8,2010,0
Academic Performance (V2),BLD,4.36,2,6,0.87,2010,0
Academic Performance (V2),BLD,3.00,2,6,0.6,2010,0
Academic Performance (V2),BLD,2.47,2,6,0.49,2011,0
Academic Performance (V2),BLD,2.57,2,6,0.51,2010,0
Academic Performance (V2),BLD,1.81,2,6,0.36,2011,0
Academic Performance (V2),BLD,2.32,2,6,0.46,2011,0
Academic Performance (V2),BLD,4.06,2,6,0.81,2011,0
Academic Performance (V2),BLD,3.23,2,6,0.65,2011,0
Academic Performance (V2),BLD,3.50,2,6,0.7,2011,0
Academic Performance (V2),BLD,2.72,2,6,0.54,2011,0
Academic Performance (V2),BLD,3.57,2,6,0.71,2011,0
Academic Performance (V2),BLD,2.09,2,6,0.42,2014,0
Academic Performance (V2),BLD,2.97,2,6,0.59,2013,0
Academic Performance (V2),BLD,3.87,2,6,0.77,2012,0
Academic Performance (V2),BLD,4.02,2,6,0.8,2012,0
Academic Performance (V2),BLD,3.88,2,6,0.78,2012,0
Academic Performance (V2),BLD,3.68,2,6,0.74,2012,0
Academic Performance (V2),BLD,4.03,2,6,0.81,2012,0
Academic Performance (V2),BLD,3.12,2,6,0.62,2012,0
Academic Performance (V2),BLD,3.62,2,6,0.72,2012,0
Academic Performance (V2),BLD,3.01,2,6,0.6,2012,0
Academic Performance (V2),BLD,3.96,2,6,0.79,2012,0
Academic Performance (V2),BLD,3.00,2,6,0.6,2012,0
Academic Performance (V2),BLD,2.83,2,6,0.57,2012,0
Academic Performance (V2),BLD,4.16,2,6,0.83,2012,0
Academic Performance (V2),BLD,4.42,2,6,0.88,2012,0
Academic Performance (V2),BLD,2.94,2,6,0.59,2012,0
Academic Performance (V2),BLD,3.58,2,6,0.72,2012,0
Academic Performance (V2),BLD,3.55,2,6,0.71,2012,0
Academic Performance (V2),BLD,2.92,2,6,0.58,2012,0
Academic Performance (V2),BLD,3.51,2,6,0.7,2012,0
Academic Performance (V2),BLD,3.60,2,6,0.72,2012,0
Academic Performance (V2),BLD,2.33,2,6,0.47,2013,0
Academic Performance (V2),BLD,4.28,2,6,0.86,2013,0
Academic Performance (V2),BLD,3.35,2,6,0.67,2013,0
Academic Performance (V2),BLD,3.11,2,6,0.62,2013,0
Academic Performance (V2),BLD,4.12,2,6,0.82,2013,0
Academic Performance (V2),BLD,3.89,2,6,0.78,2013,0
Academic Performance (V2),BLD,3.02,2,6,0.6,2013,0
Academic Performance (V2),BLD,2.89,2,6,0.58,2013,0
Academic Performance (V2),BLD,2.45,2,6,0.49,2014,0
Academic Performance (V2),BLD,4.67,2,6,0.93,2013,0
Academic Performance (V2),BLD,3.48,2,6,0.7,2013,0
Academic Performance (V2),BLD,3.75,2,6,0.75,2013,0
Academic Performance (V2),BLD,2.74,2,6,0.55,2013,0
Academic Performance (V2),BLD,4.06,2,6,0.81,2013,0
Academic Performance (V2),BLD,4.64,2,6,0.93,2013,0
Academic Performance (V2),BLD,2.21,2,6,0.44,2014,0
Academic Performance (V2),BLD,2.51,2,6,0.5,2013,0
Academic Performance (V2),BLD,2.41,2,6,0.48,2014,0
Academic Performance (V2),BLD,2.74,2,6,0.55,2013,0
Academic Performance (V2),BLD,3.11,2,6,0.62,2013,0
Academic Performance (V2),BLD,3.46,2,6,0.69,2013,0
Academic Performance (V2),BLD,2.90,2,6,0.58,2013,0
Academic Performance (V2),BLD,3.09,2,6,0.62,2013,0
Academic Performance (V2),BLD,3.05,2,6,0.61,2013,0
Academic Performance (V2),BLD,3.32,2,6,0.66,2013,0
Academic Performance (V2),BLD,3.71,2,6,0.74,2013,0
Academic Performance (V2),BLD,2.67,2,6,0.53,2013,0
Academic Performance (V2),BLD,3.60,2,6,0.72,2013,0
Academic Performance (V2),BLD,3.61,2,6,0.72,2013,0
Academic Performance (V2),BLD,2.94,2,6,0.59,2013,0
Academic Performance (V2),BLD,3.97,2,6,0.79,2013,0
Academic Performance (V2),BLD,3.27,2,6,0.65,2013,0
Academic Performance (V2),BLD,2.63,2,6,0.53,2013,0
Academic Performance (V2),BLD,3.17,2,6,0.63,2014,0
Academic Performance (V2),BLD,4.06,2,6,0.81,2014,0
Academic Performance (V2),BLD,4.56,2,6,0.91,2014,0
Academic Performance (V2),BLD,3.08,2,6,0.62,2014,0
Academic Performance (V2),BLD,3.65,2,6,0.73,2014,0
Academic Performance (V2),BLD,3.62,2,6,0.72,2014,0
Academic Performance (V2),BLD,3.67,2,6,0.73,2014,0
Academic Performance (V2),BLD,3.59,2,6,0.72,2014,0
Academic Performance (V2),BLD,2.97,2,6,0.59,2014,0
Academic Performance (V2),BLD,3.88,2,6,0.78,2014,0
Academic Performance (V2),BLD,4.08,2,6,0.82,2014,0
Academic Performance (V2),BLD,3.70,2,6,0.74,2014,0
Academic Performance (V2),BLD,3.27,2,6,0.65,2014,0
Academic Performance (V2),BLD,3.66,2,6,0.73,2014,0
Academic Performance (V2),BLD,4.24,2,6,0.85,2014,0
Academic Performance (V2),BLD,2.95,2,6,0.59,2014,0
Academic Performance (V2),BLD,3.78,2,6,0.76,2014,0
Academic Performance (V2),BLD,4.25,2,6,0.85,2014,0
Academic Performance (V2),BLD,3.69,2,6,0.74,2014,0
Academic Performance (V2),BLD,3.79,2,6,0.76,2014,0
Academic Performance (V2),BLD,2.71,2,6,0.54,2014,0
Academic Performance (V2),BLD,3.33,2,6,0.67,2014,0
Academic Performance (V2),BLD,2.80,2,6,0.56,2014,0
Academic Performance (V2),BLD,1.92,2,6,0.38,2011,0
Academic Performance (V2),CHE,1.94,2,0,0.39,2010,0
Academic Performance (V2),CHE,2.60,2,0,0.52,2010,0
Academic Performance (V2),CHE,2.33,2,0,0.47,2012,0
Academic Performance (V2),CHE,2.11,2,0,0.42,2010,0
Academic Performance (V2),CHE,2.16,2,0,0.43,2010,0
Academic Performance (V2),CHE,2.37,2,0,0.47,2010,0
Academic Performance (V2),CHE,3.62,2,0,0.72,2010,0
Academic Performance (V2),CHE,1.98,2,0,0.4,2012,0
Academic Performance (V2),CHE,3.63,2,0,0.73,2010,0
Academic Performance (V2),CHE,3.49,2,0,0.7,2010,0
Academic Performance (V2),CHE,3.43,2,0,0.69,2010,0
Academic Performance (V2),CHE,4.07,2,0,0.81,2010,0
Academic Performance (V2),CHE,4.52,2,0,0.9,2010,0
Academic Performance (V2),CHE,2.72,2,0,0.54,2010,0
Academic Performance (V2),CHE,4.13,2,0,0.83,2010,0
Academic Performance (V2),CHE,2.90,2,0,0.58,2010,0
Academic Performance (V2),CHE,4.43,2,0,0.89,2010,0
Academic Performance (V2),CHE,3.76,2,0,0.75,2010,0
Academic Performance (V2),CHE,4.64,2,0,0.93,2010,0
Academic Performance (V2),CHE,3.01,2,0,0.6,2010,0
Academic Performance (V2),CHE,2.99,2,0,0.6,2010,0
Academic Performance (V2),CHE,4.12,2,0,0.82,2010,0
Academic Performance (V2),CHE,4.07,2,0,0.81,2010,0
Academic Performance (V2),CHE,4.81,2,0,0.96,2010,0
Academic Performance (V2),CHE,2.25,2,0,0.45,2010,0
Academic Performance (V2),CHE,4.32,2,0,0.86,2010,0
Academic Performance (V2),CHE,3.73,2,0,0.75,2010,0
Academic Performance (V2),CHE,4.60,2,0,0.92,2010,0
Academic Performance (V2),CHE,3.60,2,0,0.72,2010,0
Academic Performance (V2),CHE,4.04,2,0,0.81,2010,0
Academic Performance (V2),CHE,2.66,2,0,0.53,2010,0
Academic Performance (V2),CHE,3.82,2,0,0.76,2010,0
Academic Performance (V2),CHE,3.81,2,0,0.76,2010,0
Academic Performance (V2),CHE,4.51,2,0,0.9,2010,0
Academic Performance (V2),CHE,3.70,2,0,0.74,2010,0
Academic Performance (V2),CHE,4.35,2,0,0.87,2010,0
Academic Performance (V2),CHE,3.83,2,0,0.77,2010,0
